quarter,patent,n,dism_other,judg_motion,settled
2011Q1,False,73063,0.18100817103048056,0.12459110630551716,0.5591886454156002
2011Q1,True,774,0.16149870801033592,0.06589147286821706,0.6537467700258398
2011Q2,False,54386,0.21906372963630347,0.1339131394108778,0.45620196374066857
2011Q2,True,813,0.15252152521525214,0.05043050430504305,0.6740467404674046
2011Q3,False,72328,0.1670169229067581,0.12168178298860745,0.5726413007410684
2011Q3,True,797,0.17063989962358847,0.06524466750313676,0.6411543287327478
2011Q4,False,65888,0.16124332200097136,0.10821393880524527,0.5351960903351142
2011Q4,True,746,0.1742627345844504,0.05093833780160858,0.6554959785522788
2012Q1,False,55805,0.2377206343517606,0.1633366185825643,0.42055371382492607
2012Q1,True,848,0.15683962264150944,0.06721698113207547,0.6485849056603774
2012Q2,False,51855,0.2202487706103558,0.1453668884389162,0.458509304792209
2012Q2,True,873,0.14776632302405499,0.05154639175257732,0.6723940435280642
2012Q3,False,55976,0.23894168929541232,0.16058668000571674,0.4362405316564242
2012Q3,True,864,0.1886574074074074,0.05092592592592592,0.6469907407407407
2012Q4,False,47579,0.2250572731667332,0.15273545051388218,0.4360747388553774
2012Q4,True,976,0.1834016393442623,0.05327868852459016,0.6659836065573771
2013Q1,False,54490,0.23749311800330336,0.16665443200587263,0.42138006973756653
2013Q1,True,1101,0.21707538601271573,0.05449591280653951,0.6539509536784741
2013Q2,False,54234,0.23453921894014826,0.14673452078032231,0.45725928384408304
2013Q2,True,1167,0.20479862896315337,0.037703513281919454,0.6735218508997429
2013Q3,False,56165,0.24023858274726254,0.16706133713166563,0.426902875456245
2013Q3,True,1214,0.14744645799011533,0.05848434925864909,0.7018121911037891
2013Q4,False,49302,0.2300515192081457,0.16037888929455194,0.44551945154354794
2013Q4,True,1213,0.17642209398186315,0.05605935696619951,0.6941467436108821
2014Q1,False,55341,0.2315281617607199,0.1709221011546593,0.43595164525397084
2014Q1,True,1220,0.17704918032786884,0.036885245901639344,0.7139344262295082
2014Q2,False,53104,0.22770412774932208,0.1820013558300693,0.4350896354323591
2014Q2,True,1336,0.24251497005988024,0.07335329341317365,0.6145209580838323
2014Q3,False,52904,0.2295289581128081,0.17123468924845003,0.4287766520489944
2014Q3,True,1410,0.29148936170212764,0.03829787234042553,0.597872340425532
2014Q4,False,51502,0.21344802143606073,0.13294629334783115,0.5057473496174906
2014Q4,True,1094,0.19012797074954296,0.04113345521023766,0.6782449725776966
2015Q1,False,56875,0.211410989010989,0.14985494505494507,0.4850989010989011
2015Q1,True,1165,0.18969957081545064,0.04721030042918455,0.68068669527897
2015Q2,False,59291,0.2163903459209661,0.12502740719502117,0.5253579801318918
2015Q2,True,1302,0.22196620583717358,0.042242703533026116,0.6658986175115207
2015Q3,False,55325,0.2199548124717578,0.15148666967916855,0.4811025756891098
2015Q3,True,1430,0.3027972027972028,0.05314685314685315,0.5874125874125874
2015Q4,False,50143,0.20870310910795126,0.14237281375266736,0.4990527092515406
2015Q4,True,1400,0.32785714285714285,0.027142857142857142,0.5771428571428572
2016Q1,False,56481,0.23868203466652502,0.14712912306793435,0.4651652768187532
2016Q1,True,1527,0.3647675180091683,0.038637851997380485,0.5350360183366077
2016Q2,False,52701,0.22225384717557542,0.1363731238496423,0.4916604998007628
2016Q2,True,1258,0.36804451510333863,0.029411764705882353,0.5286168521462639
2016Q3,False,67885,0.1866538999779038,0.14991529793032335,0.5400898578478309
2016Q3,True,1221,0.28501228501228504,0.05241605241605242,0.5544635544635544
2016Q4,False,58339,0.2187216099007525,0.11950839061348326,0.5367935686247621
2016Q4,True,1089,0.28191000918273645,0.05509641873278237,0.5867768595041323
2017Q1,False,64610,0.2236031574059743,0.1848320693391116,0.4591858845379972
2017Q1,True,1130,0.3053097345132743,0.03982300884955752,0.5672566371681416
2017Q2,False,63666,0.19307008450350266,0.14521094461722112,0.5420161467659347
2017Q2,True,1161,0.24720068906115417,0.03186907838070629,0.6313522825150732
2017Q3,False,59570,0.19417492026187677,0.14782608695652175,0.518448883666275
2017Q3,True,1015,0.24433497536945814,0.07881773399014778,0.5852216748768473
2017Q4,False,47880,0.22111528822055138,0.13312447786131998,0.4980994152046784
2017Q4,True,991,0.19979818365287588,0.03834510595358224,0.6579212916246215
2018Q1,False,53618,0.22777798500503563,0.15698086463501063,0.4675855123279496
2018Q1,True,813,0.17835178351783518,0.06519065190651907,0.6531365313653137
2018Q2,False,50896,0.21956538824269098,0.1453552342030808,0.4886828041496385
2018Q2,True,780,0.2141025641025641,0.057692307692307696,0.6487179487179487
2018Q3,False,79505,0.29760392428149174,0.10999308219608829,0.49671089868561724
2018Q3,True,783,0.2260536398467433,0.04342273307790549,0.6385696040868455
2018Q4,False,62371,0.19164355229193056,0.1276394478203011,0.5652787353096792
2018Q4,True,747,0.17938420348058903,0.04685408299866131,0.7028112449799196
2019Q1,False,68975,0.19924610366074666,0.12358100761145342,0.5664081188836535
2019Q1,True,774,0.19896640826873385,0.05167958656330749,0.6472868217054264
2019Q2,False,69722,0.2003671724850119,0.11621869711138522,0.5755141849057687
2019Q2,True,763,0.2018348623853211,0.0563564875491481,0.6644823066841415
2019Q3,False,63367,0.23463316868401535,0.2249120204522859,0.4177410955229062
2019Q3,True,768,0.19010416666666666,0.061197916666666664,0.6822916666666666
